t,true_x,true_y,true_yaw,gps_x,gps_y,est_x,est_y,est_yaw
1.97,1.97,0,0,1.99565,0.0293823,1.97955,0.0487274,0.0479733
1.98,1.98,0,0,1.9444,0.045922,1.98979,0.0492193,0.0479816
1.99,1.99,0,0,2.00385,0.0704114,2.00003,0.049711,0.0479618
2,2,0,0,2.00763,-0.0143824,2.00851,0.00681747,0.00697408
2.01,2.01,0,0,1.99379,0.0154062,2.01875,0.0068889,0.00712853
2.02,2.02,0,0,2.00615,0.03457,2.02899,0.00696185,0.00713585
2.03,2.03,0,0,2.04738,0.0348205,2.03924,0.00703503,0.00719958
2.04,2.04,0,0,1.99145,0.0112522,2.0495,0.00710887,0.00724746
2.05,2.05,0,0,2.0676,0.0204302,2.05976,0.00718321,0.00735712
2.06,2.06,0,0,2.05759,0.0327981,2.07001,0.00725862,0.00731781
2.07,2.07,0,0,2.08676,-0.0356984,2.08025,0.00733354,0.00726325
2.08,2.08,0,0,2.06147,0.0568948,2.09049,0.00740793,0.00712639
2.09,2.09,0,0,2.11044,-0.00820393,2.10074,0.00748093,0.00726447
2.1,2.1,0,0,2.04938,-0.0375937,2.06966,-0.0227686,-0.0204538
2.11,2.11,0,0,2.09437,0.00616286,2.07953,-0.0229705,-0.0204583
2.12,2.12,0,0,2.1126,-0.0461411,2.08942,-0.0231729,-0.0203534
2.13,2.13,0,0,2.15605,-0.0538809,2.0993,-0.0233741,-0.0203256
2.14,2.14,0,0,2.17747,-0.00900282,2.10918,-0.0235749,-0.0204273
2.15,2.15,0,0,2.17596,0.0229229,2.11905,-0.0237765,-0.020438
2.16,2.16,0,0,2.17276,0.0100697,2.12891,-0.0239782,-0.0204612
2.17,2.17,0,0,2.1353,-0.0461354,2.13877,-0.0241799,-0.0204831
2.18,2.18,0,0,2.1858,-0.0028882,2.14864,-0.0243821,-0.0204611
2.19,2.19,0,0,2.11455,0.000846078,2.15849,-0.0245836,-0.0203197
2.2,2.2,0,0,2.17891,0.013019,2.17543,0.000539438,0.00325557
2.21,2.21,0,0,2.21262,0.0164007,2.18534,0.000571712,0.00322091
2.22,2.22,0,0,2.1893,0.00905168,2.19523,0.000603573,0.00321952
2.23,2.23,0,0,2.22818,-0.0315508,2.20513,0.00063543,0.00333961
2.24,2.24,0,0,2.26177,-0.0137687,2.21503,0.000668477,0.00326301
2.25,2.25,0,0,2.23312,-0.0180475,2.22493,0.000700796,0.00308306
2.26,2.26,0,0,2.22308,-0.00781021,2.23482,0.00073128,0.00319277
2.27,2.27,0,0,2.23177,0.0187823,2.24472,0.000762872,0.00336585
2.28,2.28,0,0,2.29412,0.0219034,2.25462,0.000796186,0.00328331
2.29,2.29,0,0,2.23168,0.0809914,2.2645,0.000828634,0.00343942
2.3,2.3,0,0,2.31161,0.0410297,2.29933,0.0277493,0.0279247
2.31,2.31,0,0,2.32249,0.0322855,2.30943,0.0280313,0.028049
2.32,2.32,0,0,2.26772,-0.00014886,2.31953,0.0283147,0.0279388
2.33,2.33,0,0,2.36036,0.00963157,2.32964,0.0285972,0.0280132
2.34,2.34,0,0,2.34976,-0.00500172,2.33975,0.0288805,0.0280508
2.35,2.35,0,0,2.32154,-0.0648554,2.34986,0.0291641,0.0282023
2.36,2.36,0,0,2.34187,-0.00227452,2.35997,0.0294495,0.0282093
2.37,2.37,0,0,2.37707,-0.000547499,2.37006,0.0297342,0.0282484
2.38,2.38,0,0,2.35606,-0.00434192,2.38016,0.0300195,0.0280499
2.39,2.39,0,0,2.38366,-0.00352202,2.39025,0.0303027,0.0281427
2.4,2.4,0,0,2.39781,-0.0320105,2.39864,-0.0113552,-0.0103252
2.41,2.41,0,0,2.37779,0.0109282,2.40871,-0.0114592,-0.0102209
2.42,2.42,0,0,2.38657,-0.0110694,2.41879,-0.0115622,-0.0104122
2.43,2.43,0,0,2.39363,0.0340646,2.42886,-0.0116671,-0.0101865
2.44,2.44,0,0,2.45117,0.0479737,2.43896,-0.0117699,-0.0100957
2.45,2.45,0,0,2.4338,0.00942159,2.44905,-0.0118718,-0.0102463
2.46,2.46,0,0,2.44727,-0.0282045,2.45914,-0.0119752,-0.0101712
2.47,2.47,0,0,2.47488,-0.0256892,2.46924,-0.0120779,-0.0100067
2.48,2.48,0,0,2.4979,0.0230859,2.47933,-0.0121789,-0.0101052
2.49,2.49,0,0,2.45119,0.0323386,2.48943,-0.0122809,-0.0101024
2.5,2.5,0,0,2.5206,-0.0663968,2.51365,-0.0485779,-0.043255
2.51,2.51,0,0,2.53321,0.0336653,2.52388,-0.0490209,-0.0431998
