t,true_x,true_y,true_yaw,gps_x,gps_y,est_x,est_y,est_yaw
2.64,2.64,0,0,2.64387,-0.0146694,2.65374,-0.0136109,-0.00514181
2.65,2.65,0,0,2.64547,-0.00710997,2.66385,-0.0136628,-0.00518986
2.66,2.66,0,0,2.67627,0.0376307,2.67396,-0.0137153,-0.00520109
2.67,2.67,0,0,2.65328,-0.031921,2.68408,-0.013768,-0.00524497
2.68,2.68,0,0,2.6941,0.0574414,2.69419,-0.013821,-0.00523507
2.69,2.69,0,0,2.64986,0.0165468,2.7043,-0.0138739,-0.0050681
2.7,2.7,0,0,2.69397,-0.00425087,2.70072,-0.00743664,0.000788091
2.71,2.71,0,0,2.70093,0.00670533,2.7107,-0.00742878,0.000914702
2.72,2.72,0,0,2.74527,-0.0108815,2.72067,-0.00741966,0.00108672
2.73,2.73,0,0,2.71508,-0.0206551,2.73065,-0.00740881,0.00102955
2.74,2.74,0,0,2.71337,0.00344607,2.74062,-0.00739854,0.00121555
2.75,2.75,0,0,2.7259,-0.0638993,2.75061,-0.0073864,0.00119551
2.76,2.76,0,0,2.79812,-0.0212192,2.76059,-0.00737448,0.0011953
2.77,2.77,0,0,2.77146,0.0287057,2.77055,-0.00736257,0.00127381
2.78,2.78,0,0,2.80367,-0.00815736,2.78051,-0.00734988,0.00118506
2.79,2.79,0,0,2.83068,-0.0238368,2.79047,-0.00733808,0.00121586
2.8,2.8,0,0,2.79973,0.00909369,2.79996,0.00367474,0.0115358
2.81,2.81,0,0,2.79494,0.0167607,2.8099,0.00378946,0.0114807
2.82,2.82,0,0,2.8283,0.0219642,2.81983,0.00390346,0.0114019
2.83,2.83,0,0,2.78128,0.00484689,2.82976,0.00401668,0.0114344
2.84,2.84,0,0,2.85342,-0.0364178,2.83969,0.00413024,0.0114994
2.85,2.85,0,0,2.83569,0.0199935,2.84963,0.00424451,0.0115826
2.86,2.86,0,0,2.85327,-0.0178253,2.85957,0.00435965,0.0115025
2.87,2.87,0,0,2.85491,0.0433199,2.8695,0.00447391,0.0115043
2.88,2.88,0,0,2.90578,0.0103853,2.87944,0.00458824,0.0114661
2.89,2.89,0,0,2.88285,-0.0304121,2.88937,0.00470211,0.0113538
2.9,2.9,0,0,2.91165,-0.0208926,2.90757,-0.0123965,-0.00451754
2.91,2.91,0,0,2.97125,0.0282694,2.91757,-0.0124417,-0.00448039
2.92,2.92,0,0,2.86899,0.0158491,2.92756,-0.0124864,-0.00448435
2.93,2.93,0,0,2.89406,-0.0381948,2.93753,-0.0125312,-0.00444811
2.94,2.94,0,0,2.96557,-0.0205355,2.94751,-0.0125755,-0.00459584
2.95,2.95,0,0,3.00166,-0.00252778,2.95747,-0.0126213,-0.00464505
2.96,2.96,0,0,2.95773,0.0262652,2.96742,-0.0126676,-0.00459857
2.97,2.97,0,0,2.96767,0.0190362,2.97738,-0.0127133,-0.0046126
2.98,2.98,0,0,3.00182,-0.0202266,2.98732,-0.0127592,-0.00455104
2.99,2.99,0,0,3.0142,0.00618149,2.99727,-0.0128045,-0.00455166
3,3,0,0,2.98312,0.0683475,2.99108,0.0415059,0.0450223
3.01,3.01,0,0,3.01894,0.00866197,3.00087,0.0419468,0.0452754
3.02,3.02,0,0,3.00475,-0.00345519,3.01064,0.0423894,0.0452586
3.03,3.03,0,0,3.06115,0.00259103,3.02042,0.0428323,0.0452154
3.04,3.04,0,0,3.06274,-0.00261647,3.03019,0.0432745,0.0452411
3.05,3.05,0,0,3.01454,0.0250648,3.03997,0.0437172,0.0452892
3.06,3.06,0,0,3.04869,0.0172734,3.04975,0.0441606,0.0453455
3.07,3.07,0,0,3.10396,0.0659729,3.05953,0.0446042,0.0453872
3.08,3.08,0,0,3.13346,-0.0319555,3.06932,0.0450487,0.0453217
3.09,3.09,0,0,3.08096,-0.00952037,3.0791,0.0454925,0.0455924
3.1,3.1,0,0,3.10951,0.0570281,3.10269,0.0533544,0.0519695
3.11,3.11,0,0,3.0929,0.0185545,3.11262,0.0538709,0.0519667
3.12,3.12,0,0,3.11112,0.0325082,3.12255,0.0543872,0.0519185
3.13,3.13,0,0,3.11314,-0.0398582,3.13248,0.054903,0.0520394
